Body Regions;A01
Ophthalmoplegia, Chronic Progressive External;C05.651.460.700
Kearns-Sayre Syndrome;C05.651.460.700.500
Muscle Cramp;C05.651.475
Muscle Neoplasms;C05.651.494
Muscle Rigidity;C05.651.504
Muscle Spasticity;C05.651.512
Muscle Weakness;C05.651.515
Muscular Disorders, Atrophic;C05.651.534
Muscular Dystrophies;C05.651.534.500
Distal Myopathies;C05.651.534.500.074
Glycogen Storage Disease Type VII;C05.651.534.500.149
Muscular Dystrophies, Limb-Girdle;C05.651.534.500.280
Sarcoglycanopathies;C05.651.534.500.280.500
Muscular Dystrophy, Duchenne;C05.651.534.500.300
Muscular Dystrophy, Emery-Dreifuss;C05.651.534.500.350
Muscular Dystrophy, Facioscapulohumeral;C05.651.534.500.400
Muscular Dystrophy, Oculopharyngeal;C05.651.534.500.450
Myotonic Dystrophy;C05.651.534.500.500
Postpoliomyelitis Syndrome;C05.651.534.750
Musculoskeletal Pain;C05.651.538
Myalgia;C05.651.542
Myofascial Pain Syndromes;C05.651.550
Temporomandibular Joint Dysfunction Syndrome;C05.651.550.905
Myopathies, Structural, Congenital;C05.651.575
Myopathies, Nemaline;C05.651.575.290
Myopathy, Central Core;C05.651.575.300
Myositis;C05.651.594
Myositis, Inclusion Body;C05.651.594.600
Myositis Ossificans;C05.651.594.638
Orbital Myositis;C05.651.594.728
Polymyositis;C05.651.594.819
Dermatomyositis;C05.651.594.819.500
Pyomyositis;C05.651.594.909
Myotonic Disorders;C05.651.662
Myotonia Congenita;C05.651.662.500
Myotonic Dystrophy;C05.651.662.750
Paralyses, Familial Periodic;C05.651.701
Hypokalemic Periodic Paralysis;C05.651.701.450
Paralysis, Hyperkalemic Periodic;C05.651.701.600
Polymyalgia Rheumatica;C05.651.742
Rhabdomyolysis;C05.651.807
Myoglobinuria;C05.651.807.628
Tendinopathy;C05.651.869
Elbow Tendinopathy;C05.651.869.435
Tennis Elbow;C05.651.869.435.500
Enthesopathy;C05.651.869.653
Giant Cell Tumor of Tendon Sheath;C05.651.869.762
Synovitis, Pigmented Villonodular;C05.651.869.762.500
Tendon Entrapment;C05.651.869.816
De Quervain Disease;C05.651.869.816.200
Trigger Finger Disorder;C05.651.869.816.800
Tenosynovitis;C05.651.869.870
Musculoskeletal Abnormalities;C05.660
Arthrogryposis;C05.660.077
Campomelic Dysplasia;C05.660.142
Craniofacial Abnormalities;C05.660.207
22q11 Deletion Syndrome;C05.660.207.103
DiGeorge Syndrome;C05.660.207.103.500
Cleidocranial Dysplasia;C05.660.207.207
Costello Syndrome;C05.660.207.219
Craniofacial Dysostosis;C05.660.207.231
Hallermann's Syndrome;C05.660.207.231.427
Hypertelorism;C05.660.207.231.480
Mandibulofacial Dysostosis;C05.660.207.231.576
Goldenhar Syndrome;C05.660.207.231.576.410
Craniosynostoses;C05.660.207.240
Acrocephalosyndactylia;C05.660.207.240.100
Donohue Syndrome;C05.660.207.325
Holoprosencephaly;C05.660.207.410
LEOPARD Syndrome;C05.660.207.525
Loeys-Dietz Syndrome;C05.660.207.532
Megalencephaly;C05.660.207.536
Hemimegalencephaly;C05.660.207.536.500
Maxillofacial Abnormalities;C05.660.207.540
Dentofacial Deformities;C05.660.207.540.229
Jaw Abnormalities;C05.660.207.540.460
Cleft Palate;C05.660.207.540.460.185
Micrognathism;C05.660.207.540.460.457
Pierre Robin Syndrome;C05.660.207.540.460.606
Prognathism;C05.660.207.540.460.655
Retrognathia;C05.660.207.540.460.827
Microcephaly;C05.660.207.620
Porencephaly;C05.660.207.620.500
Noonan Syndrome;C05.660.207.690
Orofaciodigital Syndromes;C05.660.207.700
Plagiocephaly;C05.660.207.707
Plagiocephaly, Nonsynostotic;C05.660.207.707.624
Platybasia;C05.660.207.720
Rubinstein-Taybi Syndrome;C05.660.207.850
Silver-Russell Syndrome;C05.660.207.925
Funnel Chest;C05.660.386
Gastroschisis;C05.660.417
Hip Dislocation, Congenital;C05.660.449
Klippel-Feil Syndrome;C05.660.551
Limb Deformities, Congenital;C05.660.585
Arachnodactyly;C05.660.585.174
Brachydactyly;C05.660.585.262
Ectromelia;C05.660.585.350
Lower Extremity Deformities, Congenital;C05.660.585.512
Foot Deformities, Congenital;C05.660.585.512.380
Talipes;C05.660.585.512.380.813
Clubfoot;C05.660.585.512.380.813.063
Equinus Deformity;C05.660.585.512.380.813.125
Flatfoot;C05.660.585.512.380.813.250
Talipes Cavus;C05.660.585.512.380.813.500
Tarsal Coalition;C05.660.585.512.380.875
Polydactyly;C05.660.585.600
Pallister-Hall Syndrome;C05.660.585.600.374
Short Rib-Polydactyly Syndrome;C05.660.585.600.750
Proteus Syndrome;C05.660.585.620
Syndactyly;C05.660.585.800
Acrocephalosyndactylia;C05.660.585.800.100
Fraser Syndrome;C05.660.585.800.428
Poland Syndrome;C05.660.585.800.756
Thanatophoric Dysplasia;C05.660.585.984
Upper Extremity Deformities, Congenital;C05.660.585.988
Hand Deformities, Congenital;C05.660.585.988.425
Pectus Carinatum;C05.660.745
Synostosis;C05.660.906
Antley-Bixler Syndrome Phenotype;C05.660.906.181
Craniosynostoses;C05.660.906.364
Acrocephalosyndactylia;C05.660.906.364.100
Syndactyly;C05.660.906.819
Acrocephalosyndactylia;C05.660.906.819.100
Fraser Syndrome;C05.660.906.819.428
Poland Syndrome;C05.660.906.819.756
Tarsal Coalition;C05.660.906.909
Rheumatic Diseases;C05.799
Arthritis, Juvenile;C05.799.056
Arthritis, Rheumatoid;C05.799.114
Caplan Syndrome;C05.799.114.219
Felty Syndrome;C05.799.114.389
Rheumatoid Nodule;C05.799.114.683
Rheumatoid Vasculitis;C05.799.114.728
Sjogren's Syndrome;C05.799.114.774
Still's Disease, Adult-Onset;C05.799.114.870
Fibromyalgia;C05.799.321
Gout;C05.799.414
Arthritis, Gouty;C05.799.414.410
Hyperostosis, Sternocostoclavicular;C05.799.440
Osteoarthritis;C05.799.613
Osteoarthritis, Hip;C05.799.613.400
Osteoarthritis, Knee;C05.799.613.500
Osteoarthritis, Spine;C05.799.613.750
Polymyalgia Rheumatica;C05.799.720
Rheumatic Fever;C05.799.825
Rheumatic Nodule;C05.799.825.566
Wissler's Syndrome;C05.799.825.823
Digestive System Diseases;C06
Biliary Tract Diseases;C06.130
Bile Duct Diseases;C06.130.120
Bile Duct Neoplasms;C06.130.120.120
Common Bile Duct Neoplasms;C06.130.120.120.280
Biliary Atresia;C06.130.120.123
Choledochal Cyst;C06.130.120.127
Caroli Disease;C06.130.120.127.500
Cholestasis;C06.130.120.135
Cholestasis, Extrahepatic;C06.130.120.135.150
Cholestasis, Intrahepatic;C06.130.120.135.250
Alagille Syndrome;C06.130.120.135.250.125
Liver Cirrhosis, Biliary;C06.130.120.135.250.250
Mirizzi Syndrome;C06.130.120.135.812
Cholangitis;C06.130.120.200
Cholangitis, Sclerosing;C06.130.120.200.110
Common Bile Duct Diseases;C06.130.120.250
Biliary Dyskinesia;C06.130.120.250.098
Sphincter of Oddi Dysfunction;C06.130.120.250.098.800
Choledocholithiasis;C06.130.120.250.174
Common Bile Duct Neoplasms;C06.130.120.250.280
Bile Reflux;C06.130.140
Biliary Tract Neoplasms;C06.130.320
Bile Duct Neoplasms;C06.130.320.120
Common Bile Duct Neoplasms;C06.130.320.120.280
Gallbladder Neoplasms;C06.130.320.401
Cholelithiasis;C06.130.409
Cholecystolithiasis;C06.130.409.178
Choledocholithiasis;C06.130.409.267
Gallstones;C06.130.409.633
Gallbladder Diseases;C06.130.564
Cholecystitis;C06.130.564.263
Acalculous Cholecystitis;C06.130.564.263.249
Cholecystitis, Acute;C06.130.564.263.500
Emphysematous Cholecystitis;C06.130.564.263.500.500
Cholecystolithiasis;C06.130.564.332
Gallstones;C06.130.564.332.500
Gallbladder Neoplasms;C06.130.564.401
Postcholecystectomy Syndrome;C06.130.825
Digestive System Abnormalities;C06.198
Anorectal Malformations;C06.198.025
Anus, Imperforate;C06.198.050
Biliary Atresia;C06.198.125
Choledochal Cyst;C06.198.184
Caroli Disease;C06.198.184.500
Diaphragmatic Eventration;C06.198.257
Esophageal Atresia;C06.198.330
Hirschsprung Disease;C06.198.439
Intestinal Atresia;C06.198.719
Meckel Diverticulum;C06.198.859
Median Arcuate Ligament Syndrome;C06.198.929
Digestive System Fistula;C06.267
Biliary Fistula;C06.267.150
Esophageal Fistula;C06.267.250
Tracheoesophageal Fistula;C06.267.250.725
Gastric Fistula;C06.267.375
Intestinal Fistula;C06.267.550
Rectal Fistula;C06.267.550.600
Rectovaginal Fistula;C06.267.550.600.650
Pancreatic Fistula;C06.267.775
Digestive System Neoplasms;C06.301
Biliary Tract Neoplasms;C06.301.120
Bile Duct Neoplasms;C06.301.120.250
Common Bile Duct Neoplasms;C06.301.120.250.250
Gallbladder Neoplasms;C06.301.120.401
Gastrointestinal Neoplasms;C06.301.371
Esophageal Neoplasms;C06.301.371.205
Esophageal Squamous Cell Carcinoma;C06.301.371.205.500
Gastrointestinal Stromal Tumors;C06.301.371.308
Intestinal Neoplasms;C06.301.371.411
Cecal Neoplasms;C06.301.371.411.184
Appendiceal Neoplasms;C06.301.371.411.184.290
Colorectal Neoplasms;C06.301.371.411.307
Adenomatous Polyposis Coli;C06.301.371.411.307.090
Gardner Syndrome;C06.301.371.411.307.090.500
Colonic Neoplasms;C06.301.371.411.307.180
Sigmoid Neoplasms;C06.301.371.411.307.180.800
Colorectal Neoplasms, Hereditary Nonpolyposis;C06.301.371.411.307.190
Rectal Neoplasms;C06.301.371.411.307.790
Anus Neoplasms;C06.301.371.411.307.790.040
Anal Gland Neoplasms;C06.301.371.411.307.790.040.040
Duodenal Neoplasms;C06.301.371.411.445
Ileal Neoplasms;C06.301.371.411.501
Immunoproliferative Small Intestinal Disease;C06.301.371.411.512
Jejunal Neoplasms;C06.301.371.411.523
Stomach Neoplasms;C06.301.371.767
Zollinger-Ellison Syndrome;C06.301.371.883
Liver Neoplasms;C06.301.623
Adenoma, Liver Cell;C06.301.623.040
Carcinoma, Hepatocellular;C06.301.623.160
Liver Neoplasms, Experimental;C06.301.623.460
Pancreatic Neoplasms;C06.301.761
Adenoma, Islet Cell;C06.301.761.249
Insulinoma;C06.301.761.249.500
Carcinoma, Islet Cell;C06.301.761.500
Gastrinoma;C06.301.761.500.124
Glucagonoma;C06.301.761.500.249
Somatostatinoma;C06.301.761.500.500
Vipoma;C06.301.761.500.750
Carcinoma, Pancreatic Ductal;C06.301.761.750
Pancreatic Intraductal Neoplasms;C06.301.761.875
Peritoneal Neoplasms;C06.301.780
Gastrointestinal Diseases;C06.405
Esophageal Diseases;C06.405.117
Barrett Esophagus;C06.405.117.102
Deglutition Disorders;C06.405.117.119
Esophageal Motility Disorders;C06.405.117.119.500
CREST Syndrome;C06.405.117.119.500.204
Esophageal Achalasia;C06.405.117.119.500.432
Esophageal Spasm, Diffuse;C06.405.117.119.500.450
Gastroesophageal Reflux;C06.405.117.119.500.484
Laryngopharyngeal Reflux;C06.405.117.119.500.484.500
Respiratory Aspiration of Gastric Contents;C06.405.117.119.500.484.500.500
Plummer-Vinson Syndrome;C06.405.117.119.500.742
Diverticulosis, Esophageal;C06.405.117.136
Esophageal and Gastric Varices;C06.405.117.240
Esophageal Atresia;C06.405.117.260
Esophageal Cyst;C06.405.117.316
Esophageal Fistula;C06.405.117.367
Tracheoesophageal Fistula;C06.405.117.367.725
Esophageal Neoplasms;C06.405.117.430
Esophageal Squamous Cell Carcinoma;C06.405.117.430.500
Esophageal Perforation;C06.405.117.468
Mallory-Weiss Syndrome;C06.405.117.468.524
Esophageal Stenosis;C06.405.117.544
Esophagitis;C06.405.117.620
Eosinophilic Esophagitis;C06.405.117.620.209
Esophagitis, Peptic;C06.405.117.620.420
Gastroenteritis;C06.405.205
Appendicitis;C06.405.205.099
Cholera Morbus;C06.405.205.200
Colitis;C06.405.205.265
Colitis, Ischemic;C06.405.205.265.115
Colitis, Microscopic;C06.405.205.265.173
Colitis, Collagenous;C06.405.205.265.173.500
Colitis, Lymphocytic;C06.405.205.265.173.750
Colitis, Ulcerative;C06.405.205.265.231
Proctocolitis;C06.405.205.265.767
Diverticular Diseases;C06.405.205.282
Diverticulitis;C06.405.205.282.500
Diverticulitis, Colonic;C06.405.205.282.500.250
Diverticulosis, Esophageal;C06.405.205.282.500.438
Diverticulosis, Stomach;C06.405.205.282.500.625
Diverticulum;C06.405.205.282.750
Diverticulum, Colon;C06.405.205.282.750.500
Diverticulum, Esophageal;C06.405.205.282.750.625
Zenker Diverticulum;C06.405.205.282.750.625.900
Diverticulum, Stomach;C06.405.205.282.750.687
Meckel Diverticulum;C06.405.205.282.750.750
Dysentery;C06.405.205.331
Dysentery, Amebic;C06.405.205.331.312
Dysentery, Bacillary;C06.405.205.331.479
Enteritis;C06.405.205.462
Duodenitis;C06.405.205.462.249
Ileitis;C06.405.205.462.624
Pouchitis;C06.405.205.462.624.500
Enterocolitis;C06.405.205.596
Enterocolitis, Necrotizing;C06.405.205.596.700
Enterocolitis, Neutropenic;C06.405.205.596.750
Enterocolitis, Pseudomembranous;C06.405.205.596.800
Esophagitis;C06.405.205.663
Eosinophilic Esophagitis;C06.405.205.663.209
Esophagitis, Peptic;C06.405.205.663.420
Gastritis;C06.405.205.697
Gastritis, Atrophic;C06.405.205.697.394
Gastritis, Hypertrophic;C06.405.205.697.410
Inflammatory Bowel Diseases;C06.405.205.731
Colitis, Ulcerative;C06.405.205.731.249
Crohn Disease;C06.405.205.731.500
Mucositis;C06.405.205.798
Proctitis;C06.405.205.865
Proctocolitis;C06.405.205.865.790
Typhlitis;C06.405.205.932
Gastrointestinal Hemorrhage;C06.405.227
Hematemesis;C06.405.227.400
Melena;C06.405.227.600
Peptic Ulcer Hemorrhage;C06.405.227.700
Gastrointestinal Neoplasms;C06.405.249
Esophageal Neoplasms;C06.405.249.205
Esophageal Squamous Cell Carcinoma;C06.405.249.205.500
Gastrointestinal Stromal Tumors;C06.405.249.308
Intestinal Neoplasms;C06.405.249.411
Cecal Neoplasms;C06.405.249.411.184
Appendiceal Neoplasms;C06.405.249.411.184.290
Colorectal Neoplasms;C06.405.249.411.307
Adenomatous Polyposis Coli;C06.405.249.411.307.090
Gardner Syndrome;C06.405.249.411.307.090.500
Colonic Neoplasms;C06.405.249.411.307.180
Sigmoid Neoplasms;C06.405.249.411.307.180.800
Colorectal Neoplasms, Hereditary Nonpolyposis;C06.405.249.411.307.190
Rectal Neoplasms;C06.405.249.411.307.790
Anus Neoplasms;C06.405.249.411.307.790.040
Anal Gland Neoplasms;C06.405.249.411.307.790.040.040
Duodenal Neoplasms;C06.405.249.411.445
Ileal Neoplasms;C06.405.249.411.501
Immunoproliferative Small Intestinal Disease;C06.405.249.411.512
Jejunal Neoplasms;C06.405.249.411.523
Stomach Neoplasms;C06.405.249.767
Zollinger-Ellison Syndrome;C06.405.249.883
Intestinal Diseases;C06.405.469
Cecal Diseases;C06.405.469.110
Appendicitis;C06.405.469.110.207
Cecal Neoplasms;C06.405.469.110.417
Appendiceal Neoplasms;C06.405.469.110.417.290
Typhlitis;C06.405.469.110.708
Colonic Diseases;C06.405.469.158
Chilaiditi Syndrome;C06.405.469.158.093
Colitis;C06.405.469.158.188
Colitis, Ischemic;C06.405.469.158.188.115
Colitis, Microscopic;C06.405.469.158.188.173
Colitis, Collagenous;C06.405.469.158.188.173.500
Colitis, Lymphocytic;C06.405.469.158.188.173.750
Colitis, Ulcerative;C06.405.469.158.188.231
Proctocolitis;C06.405.469.158.188.767
Colonic Diseases, Functional;C06.405.469.158.272
Colonic Pseudo-Obstruction;C06.405.469.158.272.217
Irritable Bowel Syndrome;C06.405.469.158.272.608
Neurogenic Bowel;C06.405.469.158.272.804
Colorectal Neoplasms;C06.405.469.158.356
Adenomatous Polyposis Coli;C06.405.469.158.356.090
Gardner Syndrome;C06.405.469.158.356.090.500
Colonic Neoplasms;C06.405.469.158.356.180
Sigmoid Neoplasms;C06.405.469.158.356.180.800
Colorectal Neoplasms, Hereditary Nonpolyposis;C06.405.469.158.356.190
Diverticulosis, Colonic;C06.405.469.158.587
Diverticulitis, Colonic;C06.405.469.158.587.500
Megacolon;C06.405.469.158.701
Hirschsprung Disease;C06.405.469.158.701.439
Megacolon, Toxic;C06.405.469.158.701.591
Sigmoid Diseases;C06.405.469.158.850
Proctocolitis;C06.405.469.158.850.790
Sigmoid Neoplasms;C06.405.469.158.850.850
Duodenal Diseases;C06.405.469.275
Duodenal Neoplasms;C06.405.469.275.270
Duodenal Obstruction;C06.405.469.275.395
Superior Mesenteric Artery Syndrome;C06.405.469.275.395.890
Duodenitis;C06.405.469.275.600
Duodenogastric Reflux;C06.405.469.275.700
Peptic Ulcer;C06.405.469.275.800
Duodenal Ulcer;C06.405.469.275.800.348
Esophagitis, Peptic;C06.405.469.275.800.523
Peptic Ulcer Perforation;C06.405.469.275.800.698
Stomach Ulcer;C06.405.469.275.800.849
Zollinger-Ellison Syndrome;C06.405.469.275.800.924
Dysentery;C06.405.469.300
Dysentery, Amebic;C06.405.469.300.312
Dysentery, Bacillary;C06.405.469.300.479
Enteritis;C06.405.469.326
Duodenitis;C06.405.469.326.750
Ileitis;C06.405.469.326.875
Pouchitis;C06.405.469.326.875.500
Enterocolitis;C06.405.469.363
Enterocolitis, Necrotizing;C06.405.469.363.700
Enterocolitis, Neutropenic;C06.405.469.363.750
Enterocolitis, Pseudomembranous;C06.405.469.363.800
HIV Enteropathy;C06.405.469.400
Ileal Diseases;C06.405.469.420
Ileal Neoplasms;C06.405.469.420.501
Ileitis;C06.405.469.420.520
Pouchitis;C06.405.469.420.520.500
Inflammatory Bowel Diseases;C06.405.469.432
Colitis, Ulcerative;C06.405.469.432.249
Crohn Disease;C06.405.469.432.500
Intestinal Atresia;C06.405.469.445
Intestinal Diseases, Parasitic;C06.405.469.452
Anisakiasis;C06.405.469.452.060
Balantidiasis;C06.405.469.452.146
Blastocystis Infections;C06.405.469.452.250
Cryptosporidiosis;C06.405.469.452.269
Dientamoebiasis;C06.405.469.452.275
Dysentery, Amebic;C06.405.469.452.396
Giardiasis;C06.405.469.452.481
Intestinal Fistula;C06.405.469.471
Rectal Fistula;C06.405.469.471.600
Rectovaginal Fistula;C06.405.469.471.600.650
Intestinal Neoplasms;C06.405.469.491
Cecal Neoplasms;C06.405.469.491.184
Appendiceal Neoplasms;C06.405.469.491.184.290
Colorectal Neoplasms;C06.405.469.491.307
Adenomatous Polyposis Coli;C06.405.469.491.307.090
Gardner Syndrome;C06.405.469.491.307.090.500
Colonic Neoplasms;C06.405.469.491.307.180
Sigmoid Neoplasms;C06.405.469.491.307.180.800
Colorectal Neoplasms, Hereditary Nonpolyposis;C06.405.469.491.307.190
Rectal Neoplasms;C06.405.469.491.307.790
Anus Neoplasms;C06.405.469.491.307.790.040
Anal Gland Neoplasms;C06.405.469.491.307.790.040.040
Duodenal Neoplasms;C06.405.469.491.445
Ileal Neoplasms;C06.405.469.491.501
Immunoproliferative Small Intestinal Disease;C06.405.469.491.505
Jejunal Neoplasms;C06.405.469.491.523
Intestinal Obstruction;C06.405.469.531
Afferent Loop Syndrome;C06.405.469.531.099
Duodenal Obstruction;C06.405.469.531.311
Fecal Impaction;C06.405.469.531.424
Ileus;C06.405.469.531.492
Intestinal Pseudo-Obstruction;C06.405.469.531.492.500
Colonic Pseudo-Obstruction;C06.405.469.531.492.500.217
Intestinal Volvulus;C06.405.469.531.568
Intussusception;C06.405.469.531.577
Meconium Ileus;C06.405.469.531.788
Intestinal Perforation;C06.405.469.557
Intestinal Polyposis;C06.405.469.578
Adenomatous Polyposis Coli;C06.405.469.578.249
Gardner Syndrome;C06.405.469.578.249.393
Peutz-Jeghers Syndrome;C06.405.469.578.750
Jejunal Diseases;C06.405.469.600
Jejunal Neoplasms;C06.405.469.600.523
Malabsorption Syndromes;C06.405.469.637
Blind Loop Syndrome;C06.405.469.637.145
Celiac Disease;C06.405.469.637.250
Collagenous Sprue;C06.405.469.637.378
Lactose Intolerance;C06.405.469.637.506
Short Bowel Syndrome;C06.405.469.637.832
Sprue, Tropical;C06.405.469.637.850
Steatorrhea;C06.405.469.637.887
Whipple Disease;C06.405.469.637.925
Mesenteric Ischemia;C06.405.469.656
Mesenteric Vascular Occlusion;C06.405.469.675
Pneumatosis Cystoides Intestinalis;C06.405.469.778
Protein-Losing Enteropathies;C06.405.469.818
Rectal Diseases;C06.405.469.860
Anus Diseases;C06.405.469.860.101
Anus Neoplasms;C06.405.469.860.101.163
Anal Gland Neoplasms;C06.405.469.860.101.163.083
Fissure in Ano;C06.405.469.860.101.430
Pruritus Ani;C06.405.469.860.101.752
Colorectal Neoplasms;C06.405.469.860.180
Rectal Neoplasms;C06.405.469.860.180.500
Anus Neoplasms;C06.405.469.860.180.500.040
Anal Gland Neoplasms;C06.405.469.860.180.500.040.040
Fecal Incontinence;C06.405.469.860.300
Hemorrhoids;C06.405.469.860.401
Proctitis;C06.405.469.860.622
Proctocolitis;C06.405.469.860.622.790
Rectal Fistula;C06.405.469.860.752
Rectovaginal Fistula;C06.405.469.860.752.650
Rectal Prolapse;C06.405.469.860.800
Rectocele;C06.405.469.860.810
Zollinger-Ellison Syndrome;C06.405.469.965
Stomach Diseases;C06.405.748
Achlorhydria;C06.405.748.045
Diverticulosis, Stomach;C06.405.748.142
Duodenogastric Reflux;C06.405.748.240
Bile Reflux;C06.405.748.240.140
Gastric Antral Vascular Ectasia;C06.405.748.280
Gastric Dilatation;C06.405.748.300
Gastric Outlet Obstruction;C06.405.748.340
Pyloric Stenosis;C06.405.748.340.690
Pyloric Stenosis, Hypertrophic;C06.405.748.340.690.500
Gastritis;C06.405.748.398
Gastritis, Atrophic;C06.405.748.398.394
Gastritis, Hypertrophic;C06.405.748.398.410
Gastroparesis;C06.405.748.543
Peptic Ulcer;C06.405.748.586
Duodenal Ulcer;C06.405.748.586.349
Esophagitis, Peptic;C06.405.748.586.524
Peptic Ulcer Perforation;C06.405.748.586.698
Stomach Ulcer;C06.405.748.586.849
Zollinger-Ellison Syndrome;C06.405.748.586.924
Postgastrectomy Syndromes;C06.405.748.630
Dumping Syndrome;C06.405.748.630.310
Stomach Neoplasms;C06.405.748.789
Stomach Rupture;C06.405.748.824
Stomach Volvulus;C06.405.748.895
Zollinger-Ellison Syndrome;C06.405.748.947
Tuberculosis, Gastrointestinal;C06.405.874
Visceral Prolapse;C06.405.937
Liver Diseases;C06.552
alpha 1-Antitrypsin Deficiency;C06.552.074
Chemical and Drug Induced Liver Injury;C06.552.100
Chemical and Drug Induced Liver Injury, Chronic;C06.552.100.200
Cholestasis, Intrahepatic;C06.552.150
Alagille Syndrome;C06.552.150.125
Liver Cirrhosis, Biliary;C06.552.150.250
Fatty Liver;C06.552.241
